# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CSNK1E	CSNK1E	NM_152221.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CYB5R3	CYB5R3	NM_000398.7	protein_coding	0	8	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	8	0
CYB5R3	CYB5R3	NM_001129819.2	protein_coding	0	7	2	3	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	7	0
CYB5R3	CYB5R3	NM_001171660.1	protein_coding	0	9	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	0
CYB5R3	CYB5R3	NM_001171661.1	protein_coding	0	7	2	3	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	7	0
CYB5R3	CYB5R3	NM_007326.4	protein_coding	0	7	2	3	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	7	0
CYP2D6	CYP2D6.7	NM_000106.6.7	protein_coding	4	0	11	1	0	0	0	0	0	0	0	0	2	2	11	0	1	2	0	1	0	0	0
CYP2D6	CYP2D6.7	NM_001025161.3.4	protein_coding	2	0	9	5	0	0	0	0	0	0	0	0	1	6	9	0	1	0	0	0	0	0	0
CYP2D7	CYP2D7.14	NM_001348386.3.14	protein_coding	4	0	11	1	0	0	0	0	0	0	0	0	2	2	11	0	1	2	0	1	0	0	0
CYP2D7	CYP2D7.14	NR_002570.6.4		1	2	0	13	0	0	0	0	0	0	0	0	0	2	0	14	1	2	0	0	0	0	0
CYP2D7	CYP2D7.14	NR_145674.3.16		1	2	0	13	0	0	0	0	0	0	0	0	0	2	0	14	1	2	0	0	0	0	0
CYTH4	CYTH4	NM_001318024.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
CYTH4	CYTH4	NM_013385.5	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
DDT	DDT.3	NM_001355.4.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX17	DDX17	NM_001098504.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DDX17	DDX17	NM_006386.5	protein_coding	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
DEPDC5	DEPDC5	NM_001007188.3	protein_coding	1	24	9	3	0	0	0	0	0	0	0	2	0	3	9	0	0	4	0	1	0	22	0
DEPDC5	DEPDC5	NM_001136029.3	protein_coding	1	82	22	6	0	0	0	0	0	0	0	0	0	8	22	0	0	7	0	1	0	80	0
DEPDC5	DEPDC5	NM_001242896.3	protein_coding	1	83	22	5	0	0	0	0	0	0	0	0	0	7	22	0	0	7	0	1	0	81	0
DEPDC5	DEPDC5	NM_001242897.2	protein_coding	1	78	16	16	0	0	0	0	0	0	0	0	0	18	16	0	0	6	0	1	0	76	0
DEPDC5	DEPDC5	NM_001363852.2	protein_coding	1	81	21	8	0	0	0	0	0	0	0	0	0	10	21	0	0	7	0	1	0	79	0
DEPDC5	DEPDC5	NM_001363854.2	protein_coding	1	80	17	13	0	0	0	0	0	0	0	0	0	15	17	0	0	6	0	1	0	78	0
DEPDC5	DEPDC5	NM_001364318.1	protein_coding	1	83	22	5	0	0	0	0	0	0	0	0	0	7	22	0	0	7	0	1	0	81	0
DEPDC5	DEPDC5	NM_001364319.1	protein_coding	1	80	17	13	0	0	0	0	0	0	0	0	0	15	17	0	0	6	0	1	0	78	0
DEPDC5	DEPDC5	NM_001364320.1	protein_coding	1	81	21	8	0	0	0	0	0	0	0	0	0	10	21	0	0	7	0	1	0	79	0
DEPDC5	DEPDC5	NM_001369901.1	protein_coding	1	83	22	5	0	0	0	0	0	0	0	0	0	7	22	0	0	7	0	1	0	81	0
DEPDC5	DEPDC5	NM_001369902.1	protein_coding	1	83	22	5	0	0	0	0	0	0	0	0	0	7	22	0	0	7	0	1	0	81	0
DEPDC5	DEPDC5	NM_001369903.1	protein_coding	1	80	21	9	0	0	0	0	0	0	0	0	0	11	21	0	0	7	0	1	0	78	0
DEPDC5	DEPDC5	NM_014662.5	protein_coding	1	80	21	9	0	0	0	0	0	0	0	0	0	11	21	0	0	7	0	1	0	78	0
DEPDC5	DEPDC5	NR_110988.2		0	6	0	105	0	0	0	0	0	0	0	0	0	19	0	92	0	6	0	0	0	0	0
DEPDC5	DEPDC5	NR_146296.2		0	7	0	104	0	0	0	0	0	0	0	0	0	7	0	104	0	7	0	0	0	0	0
DEPDC5	DEPDC5	NR_157125.1		0	8	0	103	0	0	0	0	0	0	0	0	0	15	0	96	0	8	0	0	0	0	0
DEPDC5	DEPDC5	NR_157126.1		0	7	0	104	0	0	0	0	0	0	0	0	0	14	0	97	0	7	0	0	0	0	0
DEPDC5	DEPDC5	NR_157128.1		0	7	0	104	0	0	0	0	0	0	0	0	0	11	0	100	0	7	0	0	0	0	0
DERL3	DERL3	NM_001002862.3	protein_coding	0	1	0	26	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0
DERL3	DERL3	NM_001135751.2	protein_coding	0	1	0	26	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0
DERL3	DERL3	NM_001363072.2	protein_coding	0	1	0	26	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0
DERL3	DERL3	NM_198440.4	protein_coding	0	1	0	26	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0
DGCR2	DGCR2	NM_001173533.1	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DGCR2	DGCR2	NM_001173534.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DGCR2	DGCR2	NM_001184781.2	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DGCR2	DGCR2	NM_005137.3	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DGCR2	DGCR2	NR_033674.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
DGCR6	DGCR6.2	NM_005675.6.2	protein_coding	0	1	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0
DGCR6L	DGCR6L	NM_033257.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DGCR8	DGCR8	NM_001190326.1	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DGCR8	DGCR8	NM_022720.7	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DMC1	DMC1	NM_001278208.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DMC1	DMC1	NM_001363017.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DMC1	DMC1	NM_007068.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DNAJB7	DNAJB7	NM_145174.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DNAL4	DNAL4	NM_005740.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF3D	EIF3D	NM_003753.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF3D	EIF3D	NR_156418.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EIF3L	EIF3L	NM_001242923.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EIF3L	EIF3L	NM_001363785.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EIF3L	EIF3L	NM_016091.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
EIF4ENIF1	EIF4ENIF1	NM_001164501.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4ENIF1	EIF4ENIF1	NM_001164502.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4ENIF1	EIF4ENIF1	NM_019843.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ELFN2	ELFN2	NM_052906.5	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ELFN2	ELFN2	NR_110512.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
EP300	EP300	NM_001362843.2	protein_coding	0	82	81	4	0	0	0	0	0	1	0	0	0	5	80	0	0	2	0	0	0	81	0
EP300	EP300	NM_001429.4	protein_coding	0	83	84	0	0	0	0	0	0	1	0	0	0	1	83	0	0	2	0	0	0	82	0
ESS2	ESS2	NM_022719.3	protein_coding	0	3	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
ESS2	ESS2	NR_134304.2		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
EWSR1	EWSR1	NM_001163285.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EWSR1	EWSR1	NM_001163286.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EWSR1	EWSR1	NM_005243.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EWSR1	EWSR1	NM_013986.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM118A	FAM118A	NM_001104595.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	FAM118A	NM_001349913.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	FAM118A	NM_001349914.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	FAM118A	NM_001349915.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	FAM118A	NM_001349916.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	FAM118A	NM_017911.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM118A	FAM118A	NR_146323.1		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FAM230D	FAM230D	NR_136570.1		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
FBLN1	FBLN1	NM_001996.4	protein_coding	0	8	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0
FBLN1	FBLN1	NM_006485.4	protein_coding	0	8	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0
FBLN1	FBLN1	NM_006486.3	protein_coding	0	11	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0
FBLN1	FBLN1	NM_006487.3	protein_coding	0	8	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0
FBXO7	FBXO7	NM_001033024.1	protein_coding	0	7	5	2	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	7	1
FBXO7	FBXO7	NM_001257990.1	protein_coding	1	9	2	4	0	1	3	0	0	0	0	0	0	0	2	0	0	1	1	0	0	7	1
FBXO7	FBXO7	NM_012179.4	protein_coding	0	8	4	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	8	0
GAL3ST1	GAL3ST1	NM_001318103.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318104.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318105.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318106.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318107.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318108.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318109.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318110.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318111.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318112.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318113.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318114.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318115.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_001318116.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GAL3ST1	GAL3ST1	NM_004861.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GGA1	GGA1	NM_001001560.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GGA1	GGA1	NM_001172687.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GGA1	GGA1	NM_001172688.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GGA1	GGA1	NM_001363771.1	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GGA1	GGA1	NM_013365.5	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GGT1	GGT1	NM_001288833.2	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
GGT1	GGT1	NM_013421.3	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
GGT1	GGT1	NM_013430.2	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0
GGT5	GGT5	NM_001099781.2	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
GGT5	GGT5	NM_001099782.2	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
GGT5	GGT5	NM_001302464.1	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
GGT5	GGT5	NM_001302465.1	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
GGT5	GGT5	NM_004121.3	protein_coding	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
GNAZ	GNAZ	NM_002073.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GNB1L	GNB1L	NM_053004.3	protein_coding	0	2	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0
GP1BB	GP1BB	NM_000407.5	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
GRAMD4	GRAMD4	NM_001366660.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GRAMD4	GRAMD4	NM_015124.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GRAP2	GRAP2	NM_001291824.2	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
GRAP2	GRAP2	NM_001291825.1	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
GRAP2	GRAP2	NM_001291826.2	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
GRAP2	GRAP2	NM_001291828.2	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
GRAP2	GRAP2	NM_004810.4	protein_coding	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
GRK3	GRK3	NM_001362778.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GRK3	GRK3	NM_005160.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSC2	GSC2	NM_005315.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSTT2	GSTT2.2	NM_000854.4.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GSTT2	GSTT2.2	NM_001302670.1.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GSTT2	GSTT2.2	NR_126442.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSTT2	GSTT2.2	NR_126445.2.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSTT2	GSTT2.2	NR_126446.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSTT2B	GSTT2B.2	NM_001080843.3.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GSTT2B	GSTT2B.2	NM_001363804.1.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GSTTP2	GSTTP2	NR_003082.1		0	0	0	129	0	0	0	0	0	0	0	44	0	85	0	0	0	0	0	0	0	0	0
GTPBP1	GTPBP1	NM_004286.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GTSE1	GTSE1	NM_016426.7	protein_coding	0	3	5	4	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	3	0
HDAC10	HDAC10	NM_001159286.2	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
HDAC10	HDAC10	NM_032019.6	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
HDHD5	HDHD5	NM_017829.5	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HDHD5	HDHD5	NM_033070.3	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HIRA	HIRA	NM_003325.4	protein_coding	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3
HMGXB4	HMGXB4	NM_001003681.3	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HMGXB4	HMGXB4	NM_001362972.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HMGXB4	HMGXB4	NR_027780.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HMOX1	HMOX1	NM_002133.3	protein_coding	0	11	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0
HORMAD2	HORMAD2	NM_001329457.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HORMAD2	HORMAD2	NM_001329458.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HORMAD2	HORMAD2	NM_152510.4	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HPS4	HPS4	NM_001349896.1	protein_coding	0	12	11	2	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	12	0
HPS4	HPS4	NM_001349898.2	protein_coding	0	12	11	2	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	12	0
HPS4	HPS4	NM_001349899.2	protein_coding	0	12	11	2	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	12	0
HPS4	HPS4	NM_001349900.2	protein_coding	1	12	11	1	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1	0	12	0
HPS4	HPS4	NM_001349901.1	protein_coding	1	12	11	1	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	1	0	12	0
HPS4	HPS4	NM_001349902.1	protein_coding	0	8	12	5	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	8	0
HPS4	HPS4	NM_001349903.2	protein_coding	0	8	12	5	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	8	0
HPS4	HPS4	NM_001349904.2	protein_coding	0	9	11	5	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	9	0
HPS4	HPS4	NM_001349905.1	protein_coding	0	9	11	5	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	9	0
HPS4	HPS4	NM_022081.5	protein_coding	0	12	11	2	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	12	0
HPS4	HPS4	NM_152841.2	protein_coding	0	11	11	3	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	11	1
HPS4	HPS4	NR_073135.1		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HPS4	HPS4	NR_073136.2		0	0	0	25	0	0	0	0	0	0	0	0	0	1	0	23	0	0	0	0	0	0	1
HPS4	HPS4	NR_146311.2		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HPS4	HPS4	NR_146312.1		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HPS4	HPS4	NR_146313.2		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HPS4	HPS4	NR_146314.1		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HPS4	HPS4	NR_146315.2		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HPS4	HPS4	NR_146316.1		0	0	0	25	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0
HSCB	HSCB	NM_001318314.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSCB	HSCB	NM_001318315.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSCB	HSCB	NM_001318316.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSCB	HSCB	NM_001363856.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSCB	HSCB	NM_172002.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HSCB	HSCB	NR_134560.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IFT27	IFT27	NM_001177701.3	protein_coding	0	3	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0
IFT27	IFT27	NM_001363003.2	protein_coding	0	3	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0
IFT27	IFT27	NM_006860.5	protein_coding	0	3	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0
IFT27	IFT27	NR_033531.3		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IGLL1	IGLL1	NM_001369906.1	protein_coding	0	17	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	17	0
IGLL1	IGLL1	NM_020070.4	protein_coding	0	17	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	17	0
IGLL1	IGLL1	NM_152855.3	protein_coding	0	0	5	20	15	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0
IL17RA	IL17RA	NM_001289905.1	protein_coding	0	10	10	2	2	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	10	0
IL17RA	IL17RA	NM_014339.7	protein_coding	0	10	10	2	2	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	10	0
IL2RB	IL2RB	NM_000878.5	protein_coding	0	9	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0
IL2RB	IL2RB	NM_001346222.1	protein_coding	0	9	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0
IL2RB	IL2RB	NM_001346223.2	protein_coding	0	9	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0
INPP5J	INPP5J	NM_001002837.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
INPP5J	INPP5J	NM_001284285.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
INPP5J	INPP5J	NM_001284286.1	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
